gene_id	C1	C2	C3	V1	V2	V3
ENSG00000201558.8	785	1486	1645	301	761	631
ENSG00000136824.8	315	176	539	909	701	581
ENSG00000260691.1	68	38	62	120	68	108
ENSG00000115155.12	255	158	185	339	173	208
ENSG00000222122.6	44	46	48	52	38	52
ENSG00000135960.14	81	39	74	84	36	52
ENSG00000237292.5	53	31	61	38	52	29
ENSG00000126226.11	932	1352	1291	2421	2333	4050
ENSG00000248967.5	4677	4032	3181	2962	2886	4911
ENSG00000243314.14	740	868	347	384	248	112
ENSG00000278747.5	53	43	57	41	49	64
ENSG00000188026.5	360	210	230	287	289	469
ENSG00000225825.3	33115	38664	35645	66036	25941	36369
ENSG00000226799.2	25252	52548	17418	21980	22129	36658
ENSG00000271550.1	12	15	9	13	7	19
ENSG00000170091.6	209	237	172	147	84	203
ENSG00000274853.15	5015	9345	11186	5045	8266	4486
ENSG00000274587.12	505	359	214	483	495	642
ENSG00000266012.13	11488	7750	10309	45997	12948	42507
ENSG00000248874.10	315	230	193	214	145	215
ENSG00000172955.7	1159	461	1509	1746	1414	1780
ENSG00000024862.5	959	244	725	1399	3748	1702
ENSG00000207172.1	228550	271582	275019	212992	264840	366466
ENSG00000206299.15	2171	1733	3062	2482	2401	3891
ENSG00000123569.13	23	25	22	59	34	51
ENSG00000204574.14	131	184	91	123	185	57
ENSG00000250819.8	275	714	677	731	619	1673
ENSG00000226681.12	7	6	9	15	5	7
ENSG00000125457.7	14	6	4	9	14	10
ENSG00000189253.6	27	31	40	39	34	18
ENSG00000230514.1	182	279	201	156	185	212
ENSG00000229398.15	5342	4763	5664	3731	5745	2175
ENSG00000287034.9	230	226	239	338	254	162
ENSG00000196748.6	1854	2129	2387	306	307	601
ENSG00000227151.11	315	328	456	437	185	415
ENSG00000199846.12	105	65	51	153	42	59
ENSG00000259612.2	6131	4702	8678	6770	6294	6694
ENSG00000286710.5	53	19	41	136	102	83
ENSG00000200105.15	140	256	127	276	375	281
ENSG00000103423.13	173	258	198	156	149	178
ENSG00000277359.11	974	1433	978	936	1051	734
ENSG00000163811.14	11133	5524	6372	11783	9068	10897
ENSG00000240957.5	680	978	994	1619	1259	986
ENSG00000206140.4	8859	4337	6645	6672	7801	4834
ENSG00000111816.9	731	1431	1745	2583	1524	1158
ENSG00000223120.11	127	128	132	147	211	135
ENSG00000136891.5	856	714	677	408	476	689
ENSG00000160447.2	8167	9371	10807	3761	3941	7113
ENSG00000171988.11	17	23	14	17	16	13
ENSG00000109787.12	271	1269	721	1068	700	532
ENSG00000283674.6	208	439	219	437	212	220
ENSG00000291351.11	2304	1226	927	1342	2839	1643
ENSG00000205853.11	1096	1121	3971	1378	1487	2785
ENSG00000232128.2	561	867	844	742	614	675
ENSG00000108819.5	7084	6382	2918	6746	6582	9787
ENSG00000157119.7	17	20	18	13	32	34
ENSG00000197579.12	8876	6134	7575	3024	2068	2587
ENSG00000135363.4	19	11	13	13	28	15
ENSG00000277775.13	1308	1182	2123	1091	684	1391
ENSG00000230342.14	382	575	363	503	294	656
ENSG00000266105.5	2830	2901	3311	2924	2151	2017
ENSG00000259394.15	408	360	611	601	507	760
ENSG00000284034.5	14	7	9	19	23	24
ENSG00000272620.2	13	8	7	15	11	5
ENSG00000166136.15	907	1454	688	1145	1589	1580
ENSG00000179673.13	431	412	540	340	230	241
ENSG00000236170.11	147	208	118	320	438	247
ENSG00000102021.11	113	188	134	264	400	284
ENSG00000125945.7	384	562	505	77	63	88
ENSG00000079931.14	274	262	211	287	196	222
ENSG00000244752.8	207	215	180	120	69	70
ENSG00000253793.10	14	6	15	10	13	8
ENSG00000200048.7	219	386	314	297	251	246
ENSG00000229597.12	2559	3407	4815	1862	1987	2030
ENSG00000266006.14	13347	33487	16938	16287	13452	24177
ENSG00000183580.11	623	275	720	481	460	237
ENSG00000149196.1	370	435	552	167	541	215
ENSG00000253696.13	2628	2140	1976	1578	1728	2394
ENSG00000228363.1	402	181	489	238	659	577
ENSG00000288184.15	95	212	182	202	181	205
ENSG00000179833.2	15	17	10	9	4	11
ENSG00000133110.10	62	12	29	38	38	35
ENSG00000135905.5	1074	903	1464	698	828	1197
ENSG00000226892.13	21	31	18	18	15	26
ENSG00000240179.1	4049	4824	1622	2185	2592	3730
